Tabelle: 61111-0002
Verbraucherpreisindex: Deutschland, Monate;;;;
Verbraucherpreisindex für Deutschland;;;;;;;
Deutschland;;;;;;;
;;Verbraucherpreisindex;;Veränderung zum Vorjahresmonat;;Veränderung zum Vormonat;
;;2020=100;2020=100;in (%);in (%);in (%);in (%)
2023;Januar;114,3;e;8,7;e;1,0;e
;Februar;115,2;e;8,7;e;0,8;e
;März;116,1;e;7,4;e;0,8;e
;April;116,6;e;7,2;e;0,4;e
;Mai;116,5;e;6,1;e;-0,1;e
;Juni;116,8;e;6,4;e;0,3;e
;Juli;117,1;e;6,2;e;0,3;e
;August;117,5;e;6,1;e;0,3;e
;September;117,8;e;4,5;e;0,3;e
;Oktober;117,8;e;3,8;e;-;
;November;117,3;e;3,2;e;-0,4;e
;Dezember;117,4;e;3,7;e;0,1;e
2024;Januar;117,6;e;2,9;e;0,2;e
;Februar;118,1;e;2,5;e;0,4;e
;März;118,6;e;2,2;e;0,4;e
;April;119,2;e;2,2;e;0,5;e
;Mai;119,3;e;2,4;e;0,1;e
;Juni;119,4;e;2,2;e;0,1;e
;Juli;119,8;e;2,3;e;0,3;e
;August;119,7;e;1,9;e;-0,1;e
;September;119,7;e;1,6;e;-;
;Oktober;120,2;e;2,0;e;0,4;e
;November;119,9;e;2,2;e;-0,2;e
;Dezember;120,5;e;2,6;e;0,5;e
2025;Januar;120,3;e;2,3;e;-0,2;e
;Februar;120,8;e;2,3;e;0,4;e
;März;121,2;e;2,2;e;0,3;e
;April;121,7;e;2,1;e;0,4;e
;Mai;121,8;e;2,1;e;0,1;e
;Juni;121,8;e;2,0;e;-;
;Juli;122,2;e;2,0;e;0,3;e
;August;122,3;e;2,2;e;0,1;e
;September;...;;...;;...;
;Oktober;...;;...;;...;
;November;...;;...;;...;
;Dezember;...;;...;;...;
__________
"Dezember 2024: 
Aufgrund des Umstiegs auf den Erhebungskatalog 2025 mit
erheblichen klassifikationsbedingten Strukturveränderungen
sind die Werte für Dezember 2024 vor allem im Hinblick auf
den Vormonatsvergleich teilweise in der Qualität
beeinflusst."
© Statistisches Bundesamt (Destatis), 2025
Stand: 17.09.2025 / 09:53:47
